"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Brackett Creek",365,"Montana","SNOTEL","Gallatin",7320,45.89107,-110.93851,100700030403,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.3,98,106,92,99,99,52,54,-0.2,42,16,12,"",13.6,12.5,14.52,13.5,8,23.5,"2012","1997",27
"Brian Head",1154,"Utah","SNOTEL","Iron",10039,37.67994,-112.85674,160300060201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,NA,NA,64,65,100,37,38,-3.55,11,9,2,"2nd Lowest",NA,NA,10.49,10.25,4.5,16.3,"2018","2019",10
"Brighton",366,"Utah","SNOTEL","Salt Lake",8766,40.59936,-111.58167,160202040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,58,61,59,62,100,36,37,-5.5,3,34,1,"Lowest",15.7,14.8,15.29,14.6,9.1,25.3,"2018, 2021","1997",35
"Bristlecone Trail",1111,"Nevada","SNOTEL","Clark",8890,36.31575,-115.69543,150100150206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.8,NA,NA,35,47,93,26,35,-3.1,8,12,2,"2nd Lowest",NA,NA,7.99,5.9,2.2,20.6,"2018","2011",13
"Brooklyn Lake",367,"Wyoming","SNOTEL","Albany",10240,41.35885,-106.23209,101800100502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.1,109,115,104,108,100,58,59,1.15,67,14,26,"",13.9,13.1,14.58,13.95,7.5,28,"1981","1997",40
"Brown Duck",368,"Utah","SNOTEL","Duchesne",10574,40.58102,-110.58587,140600030604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.2,66,69,65,71,100,37,40,-3.3,17,36,7,"",12.4,11.8,12.58,11.5,6.8,26.7,"2000","2005",43
"Brown Top",1080,"Washington","SNOTEL","Whatcom",5830,48.92755,-121.19713,171100050601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",47.1,NA,NA,105,102,100,67,65,0.85,55,6,7,"",NA,NA,44.87,46.25,32.6,51.4,"2014","2018",12
"Brumley",369,"Colorado","SNOTEL","Lake",10600,39.08766,-106.5417,110200010101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,100,108,95,100,100,55,59,0,55,19,21,"",6.7,6.2,7.02,6.7,2.8,12.1,"1981","1984, 1997",41
"Brundage Reservoir",370,"Idaho","SNOTEL","Adams",6250,45.04315,-116.13253,170602100104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.4,101,102,99,100,100,66,63,0,56,16,18,"",19.2,19,19.54,19.4,10.1,33.2,"2005","1999",35
"Buck Flat",371,"Utah","SNOTEL","Sanpete",9409,39.134,-111.43722,140600090302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.6,55,59,56,56,96,34,38,-5.2,14,37,7,"",12,11.2,11.81,11.8,4.5,25.5,"2018","1997",43
"Buck Pasture",1192,"Utah","SNOTEL","Summit",9632,40.84456,-110.66068,140401070301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.4,NA,NA,83,87,100,53,46,-1.1,11,9,2,"2nd Lowest",NA,NA,8.87,8.5,0,15,"2012","2017",10
"Buckboard Flat",1153,"Utah","SNOTEL","San Juan",8924,37.86943,-109.44717,140802030103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.3,NA,NA,84,86,100,56,62,-1.2,25,7,3,"",NA,NA,8.64,8.5,3.1,13.9,"2018","2020",9
"Buckinghorse",1107,"Washington","SNOTEL","Jefferson",4870,47.7086,-123.45747,171100200501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",47,NA,NA,128,111,100,78,75,4.8,92,2,12,"2nd Highest",NA,NA,36.64,42.2,6.4,52.2,"2015","2013",13
"Buckskin Joe",938,"Colorado","SNOTEL","Park",11150,39.3035,-106.11307,101900010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,81,87,77,77,100,38,38,-1.45,29,16,7,"",5.9,5.5,6.23,6.25,2.8,9.4,"2002","2006",22
"Buckskin Lower",373,"Nevada","SNOTEL","Humboldt",6930,41.75067,-117.53182,160401090502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,97,99,99,100,100,65,66,0,50,21,20,"",7.2,7.1,7.06,7,1.7,14.1,"2015","1984",41
"Buffalo Park",913,"Colorado","SNOTEL","Grand",9240,40.22861,-106.59528,140100010706,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,86,93,82,85,100,55,56,-1.5,28,19,7,"",9.6,8.9,10.13,9.8,5.1,15.1,"2002","2014",26
"Bug Lake",374,"Utah","SNOTEL","Rich",7987,41.68541,-111.41987,160102010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.6,73,76,72,74,100,46,47,-3.3,24,33,11,"",13.1,12.6,13.41,12.9,6,27.6,"2010","1997",43
"Bumping Ridge",375,"Washington","SNOTEL","Yakima",4610,46.81003,-121.33058,170300020105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.9,105,111,109,113,100,75,75,2.45,62,16,24,"",20,18.9,19.21,18.45,1.3,40.1,"1981","1999",40
"Bunchgrass Mdw",376,"Washington","SNOTEL","Pend Oreille",5000,48.68688,-117.17633,170102160401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.9,94,97,97,103,98,64,66,0.5,58,17,23,"",20.2,19.4,19.38,18.4,11.3,34,"2015","1997",39
"Burgess Junction",377,"Wyoming","SNOTEL","Sheridan",7880,44.78765,-107.52917,100901010202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.1,97,99,99,100,100,52,54,0,51,20,20,"",7.3,7.2,7.19,7.1,4,10.5,"2016","1990",40
"Burnside Lake",1051,"California","SNOTEL","Alpine",8129,38.71943,-119.8942,160502010107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.6,73,65,78,73,100,50,55,-5.1,35,12,7,"",18.6,20.8,17.38,18.7,5.2,40.2,"2012","2017",18
"Burnt Mountain",942,"Washington","SNOTEL","Pierce",4170,47.0444,-121.94032,171100140103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.8,77,73,85,76,95,41,44,-2.85,43,13,9,"",11.5,12,10.4,11.65,0,22.3,"2015","2008",22
"Burnt Mtn",981,"Montana","SNOTEL","Carbon",5880,45.2401,-109.45961,100700060802,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,87,84,74,78,100,43,44,-0.75,32,14,7,"",3,3.1,3.51,3.35,0.5,6.7,"2005","2014",20
"Burro Mountain",378,"Colorado","SNOTEL","Rio Blanco",9400,39.87505,-107.59853,140500050302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.6,67,70,70,72,100,41,44,-2.9,17,35,8,"",11.4,10.8,10.86,10.5,5,22.3,"1981","1997",42
"Burroughs Creek",379,"Wyoming","SNOTEL","Fremont",8750,43.69733,-109.67021,100800010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.1,NA,NA,70,76,100,45,49,-2.2,15,36,6,"",NA,NA,10.12,9.3,4.9,20.4,"2019","1997",42
"Burts Miller Ranch",1135,"Utah","SNOTEL","Summit",8000,40.98492,-110.85075,160101010105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,NA,NA,61,63,93,38,41,-1.55,9,11,1,"Lowest",NA,NA,4.28,4.15,2.6,6.3,"2010, 2021","2011",12
"Butte",380,"Colorado","SNOTEL","Gunnison",10160,38.89433,-106.953,140200010206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.1,81,86,83,87,100,51,55,-1.2,35,27,14,"",10,9.4,9.82,9.3,4.1,18.1,"1990","2017",41
"Calamity",1109,"Washington","SNOTEL","Skamania",2500,45.90362,-122.21633,170800020603,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,NA,NA,4,100,8,1,2,0,58,6,7,"",NA,NA,2.53,0.1,0,14.6,"2015, 2016, 2018, more","2009",13
"Calvert Creek",381,"Montana","SNOTEL","Deer Lodge",6430,45.8838,-113.32553,100200040801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,87,92,86,91,100,62,64,-0.55,36,30,15,"",6.3,6,6.38,6.05,2.8,13.7,"1977","1997",46
"Camas Creek Divide",382,"Idaho","SNOTEL","Elmore",5710,43.26548,-115.3453,170402200101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.8,107,100,103,100,100,79,79,0,54,14,15,"",9.2,9.8,9.54,9.8,2.8,14.5,"2018","1993",29
"Camp Jackson",383,"Utah","SNOTEL","San Juan",8858,37.81333,-109.48723,140802010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,52,63,54,62,100,37,40,-3.3,23,28,9,"",10.5,8.7,10.14,8.8,2,26.7,"2018","2005",36
"Canyon",384,"Wyoming","SNOTEL","Park",7870,44.71961,-110.51084,100700010705,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.7,93,98,92,97,99,60,65,-0.3,45,23,18,"",9.4,8.9,9.47,9,5,19.7,"1981","1997",41
"Carrot Basin",385,"Montana","SNOTEL","Gallatin",9000,44.96192,-111.29403,100200080105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.7,85,88,82,87,100,49,46,-2.4,26,41,15,"",18.5,17.9,19.05,18.1,7.8,33.4,"1977","1997",55
"Carson Pass",1067,"California","SNOTEL","Alpine",8360,38.6927,-120.0022,180201290101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.2,71,75,78,71,100,46,54,-6.5,44,10,7,"",22.7,21.5,20.81,22.7,7.9,40.6,"2012","2017",17
"Cascade",386,"Colorado","SNOTEL","San Juan",8880,37.65083,-107.80602,140801040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,63,63,62,65,100,42,42,-3.3,21,34,10,"",9.9,9.8,10.01,9.5,1,22.3,"1981","1979",43
"Cascade #2",387,"Colorado","SNOTEL","San Juan",8920,37.658,-107.80268,140801040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,60,76,64,68,97,47,54,-2.6,20,25,7,"",9.3,7.4,8.73,8.2,0.9,28.2,"2018","1997",31
"Cascade Mountain",1039,"Utah","SNOTEL","Utah",7774,40.283,-111.60992,160202030505,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.4,56,57,69,65,100,46,47,-4.6,22,15,5,"",15,14.7,12.21,13,3.7,19.2,"2018","2017",19
"Cascade Summit",388,"Oregon","SNOTEL","Deschutes",5100,43.59042,-122.0601,170900010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18,77,84,81,86,100,54,55,-2.9,32,28,14,"",23.3,21.4,22.1,20.9,5.8,37.3,"2015","2008",41
"Casper Mtn.",389,"Wyoming","SNOTEL","Natrona",7900,42.73389,-106.31861,101800070804,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,60,66,61,67,100,32,33,-2.7,3,38,2,"2nd Lowest",9,8.2,8.88,8.1,3.6,16.3,"2013","1997",39
"Castle Creek",1130,"Wyoming","SNOTEL","Fremont",8400,43.6748,-109.3774,100800010401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.8,NA,NA,74,83,100,50,48,-0.8,30,8,3,"",NA,NA,5.16,4.6,2.3,10,"2019","2017",11
"Castle Valley",390,"Utah","SNOTEL","Iron",9607,37.66098,-112.74093,160300010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.1,45,48,46,48,100,26,27,-4.4,5,39,3,"",9.1,8.5,8.95,8.5,3.3,23.4,"2018","2005",41
"Cave Mountain",1152,"Nevada","SNOTEL","White Pine",10578,39.16337,-114.6133,160600080402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.7,NA,NA,66,65,100,38,45,-2.55,22,8,3,"",NA,NA,7.08,7.25,2.6,12.2,"2018","2017",10
"Cayuse Pass",1085,"Washington","SNOTEL","Pierce",5240,46.86954,-121.5343,171100140301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",46.1,NA,NA,117,106,100,74,71,2.8,71,5,11,"",NA,NA,39.26,43.3,10.4,57.2,"2015","2008",15
"Cedar Pass",391,"California","SNOTEL","Modoc",7030,41.58233,-120.3025,180200020603,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.3,80,82,85,84,100,53,51,-2,38,27,17,"",12.8,12.5,12.07,12.3,3.4,22.9,"2015","1998",43
"Chalender",1139,"Arizona","SNOTEL","Coconino",7100,35.26247,-112.06231,150602020305,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.2,NA,NA,82,94,NA,57,67,-0.15,45,7,6,"",NA,NA,2.68,2.35,0,9.2,"2015, 2018","2010",12
"Chalk Creek #1",392,"Utah","SNOTEL","Summit",9171,40.85464,-111.04765,160201010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.6,53,57,55,57,100,32,33,-6.4,0,43,1,"Lowest",16.2,15.2,15.76,15,8.6,26.8,"2021","1997",43
"Chalk Creek #2",393,"Utah","SNOTEL","Summit",8208,40.88529,-111.06954,160201010301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.8,64,69,66,70,100,40,40,-2.9,12,38,4,"",10.6,9.9,10.38,9.7,5.4,17.9,"2018","1997",43
"Chamita",394,"New Mexico","SNOTEL","Rio Arriba",8400,36.95636,-106.65682,130201020204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,70,71,72,72,98,51,54,-2.2,32,29,13,"",8,7.9,7.74,7.8,1.3,14.3,"2018","2008",42
"Chapman Tunnel",1101,"Colorado","SNOTEL","Pitkin",10110,39.26217,-106.62931,140100040504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.1,NA,NA,83,76,100,52,53,-2.5,31,10,5,"",NA,NA,9.79,10.6,5,15.1,"2013","2008",14
"Chemult Alternate",395,"Oregon","SNOTEL","Klamath",4850,43.22625,-121.80662,180102010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.6,94,93,100,103,100,80,82,0.2,53,20,22,"",8.1,8.2,7.57,7.4,0,15.8,"2015, 2018","1993",41
"Chena Lakes",1260,"Alaska","SNOTEL","Fairbanks North Star",500,64.75793,-147.21823,190803060901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.9,NA,NA,100,100,100,NA,NA,0,NA,1,1,"",NA,NA,2.9,2.9,2.9,2.9,"2021","2021",1
"Chepeta",396,"Utah","SNOTEL","Duchesne",10499,40.77458,-110.0105,140600031202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,61,65,64,65,100,36,40,-3.2,7,38,4,"",9.8,9.3,9.44,9.2,3,26.8,"2000","2005",41
"Chisana",1093,"Alaska","SNOTEL","Valdez-Cordova",3320,62.069,-142.049,190803010305,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.8,50,50,67,64,82,46,47,-1,25,10,4,"",3.6,3.6,2.7,2.8,1.4,4.2,"2017","2009",13
"Chocolate Gulch",895,"Idaho","SNOTEL","Blaine",6310,43.7685,-114.41812,170402190301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.7,89,95,96,104,100,68,70,0.3,52,14,15,"",9.8,9.2,9.02,8.4,4.6,19,"2014","1997",28
"Cinnabar Park",1046,"Wyoming","SNOTEL","Albany",9574,41.23837,-106.23095,101800100503,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.5,73,78,78,81,100,54,51,-2.7,6,17,2,"2nd Lowest",15.7,14.7,14.67,14.2,10.8,20.4,"2013","2011",18
"Clackamas Lake",398,"Oregon","SNOTEL","Clackamas",3400,45.09658,-121.75443,170900110301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.4,53,50,59,57,100,41,41,-4.1,30,29,12,"",10.2,10.7,9.2,9.5,0,21,"2015","2008",41
"Clayton Springs",983,"Utah","SNOTEL","Garfield",10049,37.9725,-111.83355,160300020501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.3,59,63,64,72,100,41,45,-2.1,20,17,5,"",9,8.4,8.28,7.4,3.5,19.8,"2018","2005",21
"Clear Creek #1",399,"Utah","SNOTEL","Utah",8975,39.86671,-111.28363,160202020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,54,53,54,55,100,33,36,-5.4,10,39,5,"",12.5,12.7,12.47,12.1,3.8,26.6,"1987","1997",43
"Clear Creek #2",400,"Utah","SNOTEL","Utah",7837,39.89275,-111.25154,160202020102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6,65,64,65,67,100,41,42,-3,19,35,8,"",9.3,9.4,9.28,9,3.9,18.6,"2018","1997",43
"Clear Lake",401,"Oregon","SNOTEL","Wasco",3810,45.18832,-121.6916,170703060901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.4,31,31,36,38,89,25,25,-5.6,15,35,7,"",11,10.9,9.54,9,0,24,"2015, 2018","2008",41
"Cloud Peak Reservoir",402,"Wyoming","SNOTEL","Johnson",9860,44.40343,-107.06057,100902060301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.7,92,95,93,94,100,47,49,-0.6,36,28,14,"",9.5,9.2,9.4,9.3,5,13.7,"2016","1986",43
"Clover Meadow",403,"Montana","SNOTEL","Madison",8600,45.01788,-111.8456,100200070803,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,80,85,83,87,100,46,50,-1.4,21,34,10,"",11.2,10.6,10.84,10.4,7.6,16.7,"2017","1997",43
"Cochetopa Pass",1059,"Colorado","SNOTEL","Saguache",10020,38.16283,-106.59883,130100040203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.9,134,144,116,115,98,82,80,0.5,69,6,12,"",2.9,2.7,3.36,3.4,1.5,5.3,"2018","2020",17
"Cold Springs",405,"Wyoming","SNOTEL","Fremont",9630,43.27676,-109.44585,100800010702,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.7,73,76,70,70,100,42,46,-1.55,22,30,7,"",5.1,4.9,5.31,5.25,2.3,9.3,"2001","2017",38
"Cold Springs Camp",406,"Oregon","SNOTEL","Klamath",5940,42.53305,-122.17683,180102030202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.5,56,55,63,64,100,45,44,-7.65,23,31,10,"",24,24.5,21.34,21.15,0,39.3,"2015","1989",40
"Coldfoot",958,"Alaska","SNOTEL","Yukon-Koyukuk",1040,67.25333,-150.183,190901010604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,50,55,53,57,100,37,37,-1.95,16,22,5,"",5.2,4.7,4.93,4.55,1.5,8.7,"1996","2005",26
"Cole Canyon",982,"Wyoming","SNOTEL","Crook",5910,44.48632,-104.41057,101202030302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.3,55,56,60,62,100,37,39,-1.4,5,19,2,"2nd Lowest",4.2,4.1,3.84,3.7,1.9,6.6,"2005","2011",20
"Cole Creek",407,"Montana","SNOTEL","Carbon",7850,45.19405,-109.34548,100700060801,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8,89,91,86,91,98,39,41,-0.8,43,27,20,"",9,8.8,9.34,8.8,4.3,14.8,"2002","1976",47
"Columbine",408,"Colorado","SNOTEL","Jackson",9160,40.3948,-106.60408,101800010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.3,84,87,83,87,100,55,57,-2.1,28,30,12,"",17,16.5,17.16,16.4,7.1,26.7,"1981","1996",41
"Columbine Pass",409,"Colorado","SNOTEL","Montrose",9400,38.41795,-108.38249,140200050202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,68,75,69,76,100,46,47,-2.7,18,29,7,"",12.5,11.4,12.31,11.2,3,21.7,"2018","1993",35
"Columbus Basin",904,"Colorado","SNOTEL","La Plata",10785,37.44147,-108.02445,140801050101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.6,52,59,57,59,100,36,37,-6.7,15,23,4,"",18.3,16.3,16.74,16.3,5.3,33.5,"2018","2005",27
"Combination",410,"Montana","SNOTEL","Granite",5600,46.46523,-113.39358,170102020401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.1,117,117,109,114,95,73,77,0.5,69,16,33,"",3.5,3.5,3.77,3.6,1,6.4,"2005","1975",49
"Cool Creek",411,"Idaho","SNOTEL","Clearwater",6280,46.76361,-115.29528,170603070702,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",29.1,88,92,90,96,100,59,63,-1.2,46,20,17,"",33.1,31.6,32.32,30.3,18.7,59.4,"2001","1997",36
"Cooper Lake",959,"Alaska","SNOTEL","Kenai Peninsula",1200,60.39027,-149.6936,190203021205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,120,124,129,126,100,91,100,3,79,9,31,"",12.2,11.8,11.36,11.6,2.6,21,"2015","1992",40
"Copeland Lake",412,"Colorado","SNOTEL","Boulder",8600,40.20778,-105.56861,101900050202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,80,86,74,81,100,55,54,-0.75,31,28,12,"",4,3.7,4.32,3.95,1.6,9.3,"1981, 1995","2017",40
"Copper Bottom",413,"Montana","SNOTEL","Lewis And Clark",5200,47.05678,-112.595,170102030103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.1,NA,NA,70,72,100,52,54,-2,17,36,8,"",NA,NA,7.3,7.1,0,14.6,"2005","1997",43
"Copper Camp",414,"Montana","SNOTEL","Lewis And Clark",6950,47.08158,-112.72955,170102030103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",19.1,NA,NA,79,86,99,54,58,-3.2,36,28,16,"",NA,NA,24.22,22.3,11.5,44.9,"2001","2008",43
"Copper Mountain",415,"Colorado","SNOTEL","Summit",10550,39.48954,-106.17095,140100020302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.2,85,92,84,90,100,48,47,-0.9,33,29,14,"",9.6,8.9,9.8,9.1,4.2,15.9,"1991","1997",43
"Coronado Trail",416,"Arizona","SNOTEL","Apache",8400,33.80392,-109.15282,150400040501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,0,0,0,0,0,0,0,-2.4,30,29,1,"Lowest",3.8,2.9,2.92,2.4,0,11.1,"2017, 2018, 2021, more","2010",41
"Corral",1236,"Utah","SNOTEL","Carbon",8207,39.65795,-110.37906,140600070903,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,NA,NA,56,62,97,37,53,-1.95,14,7,2,"2nd Lowest",NA,NA,5.69,5.15,1.8,12.8,"2018","2017",8
"Corral Canyon",417,"Nevada","SNOTEL","Elko",8445,40.27551,-115.54017,160401030401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.4,70,70,70,69,100,39,40,-3.3,19,35,9,"",10.6,10.5,10.57,10.7,3.7,20.3,"2012","1984",43
"Corral Pass",418,"Washington","SNOTEL","Pierce",5800,47.01872,-121.46464,171100140307,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",24.8,103,100,103,100,100,66,65,0.1,53,19,21,"",24.1,24.8,24.04,24.7,5.2,41.8,"1984","1997",39
"Cottonwood Creek",419,"Wyoming","SNOTEL","Lincoln",7670,42.6459,-110.81482,170401050102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.3,95,101,93,100,100,61,63,0,50,19,19,"",15,14.1,15.36,14.3,9.8,24.3,"1992, 1994","1996",37
"Cougar Mountain",420,"Washington","SNOTEL","King",3200,47.27666,-121.67138,171100130202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.5,49,51,55,54,100,32,34,-5.55,26,30,11,"",13.4,12.7,11.9,12.05,0,33.6,"2005, 2015","2008",40
"County Line",422,"Oregon","SNOTEL","Umatilla",4830,45.19107,-118.55015,170601040202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.4,56,56,62,63,100,44,43,-1.4,28,30,12,"",4.3,4.3,3.85,3.8,0,8.5,"2015, 2018","1989",41
"Cozy Cove",423,"Idaho","SNOTEL","Valley",5400,44.28846,-115.65508,170501200403,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.5,99,108,104,115,100,77,79,1.5,60,17,24,"",11.6,10.6,11.06,10,4.9,20.3,"2013","1997",41
"Crab Creek",424,"Idaho","SNOTEL","Clark",6900,44.437,-111.99384,170402140108,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.5,77,84,81,88,99,51,54,-1.05,38,25,16,"",9.8,8.9,9.24,8.55,4.2,18.3,"1987, 1991","1995",40
"Crater Meadows",425,"Idaho","SNOTEL","Clearwater",5960,46.56394,-115.28903,170603070502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",30.8,95,97,94,97,100,63,64,-0.9,39,23,15,"",32.3,31.6,32.64,31.7,20.3,55.5,"2001","1997",37
"Crazyman Flat",1010,"Oregon","SNOTEL","Klamath",6180,42.6381,-120.94917,180102020101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,64,76,81,82,100,55,57,-1.9,26,15,6,"",13.3,11.2,10.47,10.4,0.6,20.6,"2015","2006",20
"Crosho",426,"Colorado","SNOTEL","Rio Blanco",9100,40.16745,-107.0575,140500010106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,75,81,74,73,97,47,50,-2.3,24,27,9,"",8.3,7.7,8.43,8.5,5,14.7,"2018","1996",35
"Crow Creek",1045,"Wyoming","SNOTEL","Albany",8330,41.2287,-105.38278,101900090104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.1,18,19,22,20,79,15,15,-4.4,0,18,1,"Lowest",6,5.9,4.92,5.5,1.1,8.9,"2021","2011",18
"Crowder Flat",977,"California","SNOTEL","Modoc",5170,41.89318,-120.75202,180102040103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.1,26,26,37,37,65,25,24,-1.9,33,15,7,"",4.3,4.3,2.98,3,0,7.6,"2014, 2015, 2018, more","2008",22
"Crystal Lake",427,"Montana","SNOTEL","Fergus",6050,46.78942,-109.51205,100401030204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.3,107,112,104,111,100,63,64,0.9,62,17,27,"",8.7,8.3,8.98,8.4,4.9,15,"2017","2011",43
"Css Lab",428,"California","SNOTEL","Nevada",6894,39.32565,-120.36807,180201250602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23,91,90,96,93,100,61,61,-1.8,43,22,17,"",25.2,25.6,23.96,24.8,4,50.6,"2018","2017",38
"Culebra #2",430,"Colorado","SNOTEL","Costilla",10500,37.20945,-105.19959,130100020902,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.8,137,139,135,140,100,83,83,3.4,80,9,34,"",8.6,8.5,8.76,8.4,3,15.6,"1981","2017",42
